epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.68397,1.41215,12.1461,0.01679,0.00245,0.66667,0.02286,0.01146,1.01991,14.99,0.01627,0,0,0.1
2,6.28094,1.14031,8.56593,0.01197,0.00056,0.5,0.02331,0.01684,0.93013,12.831,0.01481,9.99756e-06,9.99756e-06,0.09901
3,8.79185,1.1971,7.186,0.01193,0.00056,0.5,0.04392,0.03069,1.00942,11.2973,0.01612,1.99805e-05,1.99805e-05,0.09802
4,11.1285,1.19706,7.5972,0.01305,0.00056,0.5,0.01486,0.01059,0.88944,9.96424,0.01488,2.99341e-05,2.99341e-05,0.0970299
5,13.1684,1.3469,6.39071,0.01599,0.00056,0.5,0.03812,0.02675,0.79281,8.83126,0.01268,3.98439e-05,3.98439e-05,0.0960398
6,15.2632,1.24245,5.84048,0.01574,0.00056,0.5,0.06381,0.04144,1.02169,8.04125,0.01613,4.96953e-05,4.96953e-05,0.0950497
7,17.537,1.09235,4.77726,0.01314,0.00056,0.5,0.06018,0.0295,1.0907,7.41557,0.01706,5.94739e-05,5.94739e-05,0.0940595
8,19.7753,0.88069,4.39028,0.00864,0.00164,0.5,0.02854,0.01016,1.44377,7.08195,0.02309,6.91655e-05,6.91655e-05,0.0930692
9,21.9095,0.95265,4.12154,0.00949,0,0,0,0,1.77469,6.832,0.03004,7.87559e-05,7.87559e-05,0.0920788
10,24.024,1.41774,4.3927,0.01739,0,0,0,0,1.86185,6.50375,0.03089,8.82311e-05,8.82311e-05,0.0910882
11,26.164,1.43032,3.56314,0.01729,0,0,0,0,1.87046,6.16759,0.03176,9.75773e-05,9.75773e-05,0.0900976
12,28.2157,1.25687,3.28305,0.01513,0,0,0,0,1.81198,5.9072,0.03042,0.000106781,0.000106781,0.0891068
13,30.248,1.32625,3.14408,0.01563,0,0,0,0,1.67184,5.67255,0.02812,0.000115829,0.000115829,0.0881158
14,32.3036,1.07185,3.13482,0.01227,0,0,0,0,1.79446,5.52445,0.03045,0.000124708,0.000124708,0.0871247
15,34.3628,1.03133,2.37667,0.0095,0,0,0,0,1.54982,5.35562,0.02526,0.000133405,0.000133405,0.0861334
16,36.3976,1.05528,3.05139,0.01257,0,0,0,0,1.74455,5.29653,0.03087,0.000141907,0.000141907,0.0851419
